Title,Company,Location,Apply Link
"Software Engineering Intern (Bachelors, 6-month Co-Op, Summer 2025)",Sandisk,"Rochester, MN",https://www.linkedin.com/jobs/view/software-engineering-intern-bachelors-6-month-co-op-summer-2025-at-sandisk-4168910290?position=1&pageNum=0&refId=3iVqT8J%2Fw8veftIxs68tfg%3D%3D&trackingId=FiinkGRuex%2BWeDRcbJGXxg%3D%3D
(General Hire) Software Engineer Intern (TikTok Eng) - 2025 Summer (BS/MS),TikTok,"San Jose, CA",https://www.linkedin.com/jobs/view/general-hire-software-engineer-intern-tiktok-eng-2025-summer-bs-ms-at-tiktok-4137400226?position=2&pageNum=0&refId=3iVqT8J%2Fw8veftIxs68tfg%3D%3D&trackingId=hcX8Xszg5If1CDge%2BhG%2FxA%3D%3D
Software Engineering Intern - Packet Forwarding Team (Summer 2025),Juniper Networks,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/software-engineering-intern-packet-forwarding-team-summer-2025-at-juniper-networks-4182748393?position=3&pageNum=0&refId=3iVqT8J%2Fw8veftIxs68tfg%3D%3D&trackingId=r5EFDGnuI1JKLaiP7aL8RA%3D%3D
Software Engineering Intern - RAG & Automation (Summer 2025),Juniper Networks,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/software-engineering-intern-rag-automation-summer-2025-at-juniper-networks-4185833265?position=4&pageNum=0&refId=3iVqT8J%2Fw8veftIxs68tfg%3D%3D&trackingId=kmCC3YWEHKCgEb2Ab9NsWA%3D%3D
Flight Software Intern - Full/Part Time,Umbra,"Santa Barbara, CA",https://www.linkedin.com/jobs/view/flight-software-intern-full-part-time-at-umbra-4197168783?position=5&pageNum=0&refId=3iVqT8J%2Fw8veftIxs68tfg%3D%3D&trackingId=bJg0tm89bxisRBa6y4agyA%3D%3D
Software Engineering Intern (Project Forum),Sorenson Communications,"Salt Lake City, UT",https://www.linkedin.com/jobs/view/software-engineering-intern-project-forum-at-sorenson-communications-4193288850?position=6&pageNum=0&refId=3iVqT8J%2Fw8veftIxs68tfg%3D%3D&trackingId=RV1rmd%2BdWx3XYjZuw07JTg%3D%3D
Software Engineer Intern- Scenario Simulation,Plus,"Santa Clara, CA",https://www.linkedin.com/jobs/view/software-engineer-intern-scenario-simulation-at-plus-4193931588?position=7&pageNum=0&refId=3iVqT8J%2Fw8veftIxs68tfg%3D%3D&trackingId=yGIi7C511JUPxCxKt0QipA%3D%3D
Summer 2025 Software Engineer Intern – Artificial Intelligence,Amentum,"Houston, TX",https://www.linkedin.com/jobs/view/summer-2025-software-engineer-intern-%E2%80%93-artificial-intelligence-at-amentum-4198269033?position=8&pageNum=0&refId=3iVqT8J%2Fw8veftIxs68tfg%3D%3D&trackingId=UgQoocQjkXEzGDRSxPv2UA%3D%3D
Software Engineering Intern (Remote in North Carolina),Rocket Lawyer,"North Carolina, United States",https://www.linkedin.com/jobs/view/software-engineering-intern-remote-in-north-carolina-at-rocket-lawyer-4190782823?position=9&pageNum=0&refId=3iVqT8J%2Fw8veftIxs68tfg%3D%3D&trackingId=vQuy66HNCQLlnHzhbfqOXA%3D%3D
Software Programmer Intern (Summer 2025),Ciena,United States,https://www.linkedin.com/jobs/view/software-programmer-intern-summer-2025-at-ciena-4198157360?position=10&pageNum=0&refId=3iVqT8J%2Fw8veftIxs68tfg%3D%3D&trackingId=0bO6W%2F6zOVBaqLYSOXGN5A%3D%3D
Software Engineering Intern - Network Security Group (Summer 2025),Juniper Networks,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/software-engineering-intern-network-security-group-summer-2025-at-juniper-networks-4178402656?position=11&pageNum=0&refId=3iVqT8J%2Fw8veftIxs68tfg%3D%3D&trackingId=9%2FcvY1LzSYwR%2BoX2fJNUeA%3D%3D
Software QA Automation Intern,Logitech,"San Jose, CA",https://www.linkedin.com/jobs/view/software-qa-automation-intern-at-logitech-4192469138?position=12&pageNum=0&refId=3iVqT8J%2Fw8veftIxs68tfg%3D%3D&trackingId=EVNmKGwXDSDoNyYZkHrK7w%3D%3D
"Intern, Space Systems Engineer (Mission Operations)",Planet,"San Francisco, CA",https://www.linkedin.com/jobs/view/intern-space-systems-engineer-mission-operations-at-planet-4184284792?position=13&pageNum=0&refId=3iVqT8J%2Fw8veftIxs68tfg%3D%3D&trackingId=BV7OxZR9nIuiZcr9sHFXcg%3D%3D
Software Engineering Intern: Central Management Office,Uplift Education,"Dallas, TX",https://www.linkedin.com/jobs/view/software-engineering-intern-central-management-office-at-uplift-education-4175589460?position=14&pageNum=0&refId=3iVqT8J%2Fw8veftIxs68tfg%3D%3D&trackingId=ltTn%2FyJxoDGB13o3pKM6nQ%3D%3D
"Strategic Student Program: Xcelerator Security Software Engineering Intern (Summer 2025, FTO)",Siemens EDA (Siemens Digital Industries Software),"Charlotte, NC",https://www.linkedin.com/jobs/view/strategic-student-program-xcelerator-security-software-engineering-intern-summer-2025-fto-at-siemens-eda-siemens-digital-industries-software-4171424337?position=15&pageNum=0&refId=3iVqT8J%2Fw8veftIxs68tfg%3D%3D&trackingId=ZoyP4Fn47xKNRFFD3TK5lw%3D%3D
